word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
甘い,58606,20120,0.1816429253294653,0.2908943700662175,0.4709174006165832,1.6014627023793584
炭酸,6500,2223,0.020146043317092525,0.032140068819940436,0.4670955938855742,1.5953539022062864
確か,3937,1345,0.012202303467598964,0.019445970563571696,0.46601513689730795,1.5936311217965522
甘口,5518,1879,0.017102441080571774,0.027166526906283434,0.4627643804413401,1.588459026304986
ブランド,1814,616,0.00562229578110859,0.008906109938409046,0.4599974686635441,1.5840699751753298
フルーティー,30206,10210,0.09362021299016873,0.14761588063499406,0.45536718783753033,1.5767522409983785
くどい,2392,808,0.007413743940690049,0.011682040308822254,0.45471707925567906,1.575727513963063
ぴったり,3133,1058,0.009710392878838596,0.015296532978631119,0.45442945727115913,1.575274365259323
商品,2249,759,0.006970530987714013,0.010973599745539716,0.4538009612414202,1.5742846226322436
熱燗,3799,1280,0.01177458747102069,0.018506202469421393,0.4521623395311435,1.5717070780584355
週間,1887,633,0.005848551344515937,0.009151895439956047,0.447767012580732,1.5648140711866343
淡麗,6745,2259,0.020905394180582935,0.03266055576439291,0.44616088363125306,1.5623027952626813
飲み口,9870,3299,0.03059099192918511,0.04769684527079779,0.4441596746061601,1.5591794271075259
一緒,4593,1532,0.014235504146985533,0.02214961108058873,0.44208080177984926,1.5559414581940931
レベル,2739,913,0.008489232714694834,0.013200127230141977,0.44142784713699634,1.5549258306104154
所為,2496,832,0.007736080633763529,0.012029031605123905,0.44142784713699634,1.5549258306104154
イメージ,6220,2072,0.019278213758817768,0.029956915247375877,0.44078455345125456,1.553925878307772
有り,6714,2236,0.0208093130509168,0.0323280224387705,0.44053379254011565,1.5535362632908352
昨年,3270,1086,0.010135009484137316,0.015701356157649712,0.4377513724076877,1.549219680773313
喉越し,3193,1056,0.009896356355611757,0.01526761703727265,0.4335674073565309,1.542751340862448
想像,2829,933,0.008768177929854577,0.013489286643726686,0.43076676535088265,1.538436691367463
ラムネ,2028,668,0.006285565514932867,0.009657924413729289,0.4295229446306781,1.5365243414907657
深い,3975,1308,0.012320080336221966,0.018911025648439984,0.4285146407338178,1.5349758388214516
無し,7283,2395,0.022572866688982285,0.03462683977676893,0.4278805014322065,1.5340027588817569
ピンク,1700,559,0.005268965175239583,0.008082005609692624,0.42780607891589795,1.5338885987845101
意外,3790,1246,0.011746692949504717,0.018014631466327386,0.4276125370760324,1.5335917558896393
熟成,9428,3098,0.029221060983622815,0.04479079316427146,0.4271128927258983,1.5328256968278746
楽しい,2933,962,0.009090514622928057,0.013908567793424515,0.4252735174933616,1.5300088466217727
商店,2120,695,0.0065707095126517154,0.010048289622068647,0.4247806137038401,1.5292548852937342
凄い,9662,3161,0.02994631854303815,0.0457016453170633,0.42272790290637174,1.5261189869259542
違い,2597,848,0.00804911915299835,0.012260359135991673,0.42080855993426086,1.5231926503938766
笑い,13969,4559,0.043295396784071606,0.06591388832663447,0.4203028482909966,1.5224225488767023
無い,69420,22653,0.21515974262654813,0.3275164097967209,0.42015741886086416,1.5222011599316225
満足,2227,726,0.006902344379563854,0.010496486713124946,0.4191794833725346,1.5207132730442232
燗酒,2199,715,0.006815561423736378,0.010337449035653356,0.41656468794435264,1.5167421130783727
開封,2402,778,0.0074447378534855755,0.01124830118844519,0.4127096573435689,1.5109062817005454
